date,mean_temp
1/1/2014,47.8
1/1/2015,44.6
1/10/2014,52.0
1/10/2015,53.8
1/11/2014,50.8
1/11/2015,50.2
1/12/2014,50.8
1/12/2015,51.8
1/13/2014,54.6
1/13/2015,53.6
1/14/2014,56.6
1/14/2015,49.6
1/15/2014,56.4
1/15/2015,50.4
1/16/2014,56.2
1/16/2015,52.4
1/17/2014,53.4
1/17/2015,53.4
1/18/2014,53.0
1/18/2015,55.4
1/19/2014,52.2
1/19/2015,54.4
1/2/2014,51.2
1/2/2015,41.8
1/20/2014,53.2
1/20/2015,53.0
1/21/2014,53.2
1/21/2015,51.4
1/22/2014,53.8
1/22/2015,50.0
1/23/2014,54.2
1/23/2015,52.8
1/24/2014,52.4
1/24/2015,57.4
1/25/2014,56.8
1/25/2015,52.6
1/26/2014,57.0
1/26/2015,52.8
1/27/2014,53.8
1/27/2015,62.2
1/28/2014,57.8
1/28/2015,55.4
1/29/2014,60.6
1/29/2015,54.6
1/3/2014,51.0
1/3/2015,42.8
1/30/2014,56.0
1/30/2015,55.6
1/31/2014,52.4
1/31/2015,58.6
1/4/2014,52.4
1/4/2015,45.8
1/5/2014,50.8
1/5/2015,47.6
1/6/2014,50.0
1/6/2015,50.8
1/7/2014,52.6
1/7/2015,52.4
1/8/2014,53.4
1/8/2015,51.8
1/9/2014,53.0
1/9/2015,55.8
10/1/2013,63.0
10/1/2014,69.8
10/10/2013,60.4
10/10/2014,63.0
10/11/2013,57.0
10/11/2014,64.6
10/12/2013,57.6
10/12/2014,71.8
10/13/2013,60.6
10/13/2014,69.2
10/14/2013,62.8
10/14/2014,64.8
10/15/2013,64.2
10/15/2014,66.0
10/16/2013,65.2
10/16/2014,62.6
10/17/2013,65.4
10/17/2014,63.4
10/18/2013,61.4
10/18/2014,68.4
10/19/2013,62.8
10/19/2014,64.6
10/2/2013,62.8
10/2/2014,71.6
10/20/2013,59.2
10/20/2014,62.6
10/21/2013,57.8
10/21/2014,60.4
10/22/2013,58.4
10/22/2014,61.4
10/23/2013,57.4
10/23/2014,65.2
10/24/2013,55.2
10/24/2014,64.0
10/25/2013,57.4
10/25/2014,64.8
10/26/2013,59.8
10/26/2014,60.6
10/27/2013,55.2
10/27/2014,58.2
10/28/2013,57.6
10/28/2014,60.6
10/29/2013,56.2
10/29/2014,64.8
10/3/2013,62.0
10/3/2014,74.6
10/30/2013,55.4
10/30/2014,65.8
10/31/2013,57.8
10/31/2014,59.8
10/4/2013,69.0
10/4/2014,74.0
10/5/2013,67.2
10/5/2014,72.4
10/6/2013,67.2
10/6/2014,70.2
10/7/2013,67.0
10/7/2014,65.6
10/8/2013,61.8
10/8/2014,67.8
10/9/2013,59.2
10/9/2014,63.6
11/1/2013,60.6
11/1/2014,57.0
11/10/2013,55.2
11/10/2014,59.6
11/11/2013,58.0
11/11/2014,60.0
11/12/2013,62.0
11/12/2014,61.2
11/13/2013,60.0
11/13/2014,61.0
11/14/2013,56.2
11/14/2014,58.6
11/15/2013,55.4
11/15/2014,57.0
11/16/2013,54.0
11/16/2014,56.2
11/17/2013,53.2
11/17/2014,55.2
11/18/2013,52.2
11/18/2014,55.2
11/19/2013,56.4
11/19/2014,60.2
11/2/2013,56.6
11/2/2014,56.0
