start_time,trip_count
"1/1/2014 0",21
"1/1/2014 1",12
"1/1/2014 10",23
"1/1/2014 11",25
"1/1/2014 12",43
"1/1/2014 13",44
"1/1/2014 14",33
"1/1/2014 15",34
"1/1/2014 16",25
"1/1/2014 17",22
"1/1/2014 18",16
"1/1/2014 19",10
"1/1/2014 2",6
"1/1/2014 20",5
"1/1/2014 21",19
"1/1/2014 22",4
"1/1/2014 23",2
"1/1/2014 3",2
"1/1/2014 4",2
"1/1/2014 7",3
"1/1/2014 8",5
"1/1/2014 9",3
"1/1/2015 0",10
"1/1/2015 1",4
"1/1/2015 10",4
"1/1/2015 11",14
"1/1/2015 12",21
"1/1/2015 13",21
"1/1/2015 14",18
"1/1/2015 15",26
"1/1/2015 16",14
"1/1/2015 17",13
"1/1/2015 18",5
"1/1/2015 19",6
"1/1/2015 20",2
"1/1/2015 21",4
"1/1/2015 22",3
"1/1/2015 23",3
"1/1/2015 3",3
"1/1/2015 5",1
"1/1/2015 7",1
"1/1/2015 8",4
"1/1/2015 9",4
"1/10/2014 0",2
"1/10/2014 10",56
"1/10/2014 11",52
"1/10/2014 12",51
"1/10/2014 13",50
"1/10/2014 14",47
"1/10/2014 15",40
"1/10/2014 16",103
"1/10/2014 17",118
"1/10/2014 18",64
"1/10/2014 19",34
"1/10/2014 2",1
"1/10/2014 20",21
"1/10/2014 21",10
"1/10/2014 22",17
"1/10/2014 23",11
"1/10/2014 5",5
"1/10/2014 6",24
"1/10/2014 7",54
"1/10/2014 8",128
"1/10/2014 9",95
"1/10/2015 0",4
"1/10/2015 1",1
"1/10/2015 10",26
"1/10/2015 11",44
"1/10/2015 12",40
"1/10/2015 13",38
"1/10/2015 14",32
"1/10/2015 15",29
"1/10/2015 16",29
"1/10/2015 17",23
"1/10/2015 18",12
"1/10/2015 19",7
"1/10/2015 2",3
"1/10/2015 20",11
"1/10/2015 21",10
"1/10/2015 22",15
"1/10/2015 23",4
"1/10/2015 6",5
"1/10/2015 7",3
"1/10/2015 8",8
"1/10/2015 9",18
"1/11/2014 0",7
"1/11/2014 1",3
"1/11/2014 10",11
"1/11/2014 11",24
"1/11/2014 12",22
"1/11/2014 13",24
"1/11/2014 14",11
"1/11/2014 15",12
"1/11/2014 16",21
"1/11/2014 17",19
"1/11/2014 18",12
"1/11/2014 19",14
"1/11/2014 2",1
"1/11/2014 20",9
"1/11/2014 21",8
"1/11/2014 22",16
"1/11/2014 23",6
"1/11/2014 5",1
"1/11/2014 6",1
"1/11/2014 7",3
"1/11/2014 8",8
"1/11/2014 9",14
"1/11/2015 0",1
"1/11/2015 1",2
"1/11/2015 10",27
"1/11/2015 11",35
"1/11/2015 12",37
"1/11/2015 13",47
"1/11/2015 14",26
"1/11/2015 15",33
"1/11/2015 16",21
"1/11/2015 17",19
"1/11/2015 18",9
"1/11/2015 19",13
"1/11/2015 20",3
"1/11/2015 21",8
"1/11/2015 22",8
"1/11/2015 23",1
"1/11/2015 5",3
"1/11/2015 6",2
"1/11/2015 7",3
"1/11/2015 8",13
"1/11/2015 9",16
"1/12/2014 0",4
"1/12/2014 1",1
"1/12/2014 10",24
"1/12/2014 11",29
"1/12/2014 12",54
"1/12/2014 13",50
"1/12/2014 14",38
"1/12/2014 15",36
"1/12/2014 16",21
"1/12/2014 17",20
